Tent ID | Dropbox #,# of Residents UNDER 18 yr.,# of Residents OVER 18 yr.,# of Tent Residents,sex,date_of_birth,HH1 Occupation,HH1 Occupation - Other,HH2 Sex,HH2 Age,HH2 Occupation,HH2 Occupation - Other,Full Time Resident 1 Relationship,Age,Sex,Occupation,Full Time Resident 2 Relationship,Age,Sex,Occupation,Full Time Resident 3 Relationship,Age,Sex,Occupation,Full Time Resident 4 Relationship,Age,Sex,Occupation,Full Time Resident 5 Relationship,Age,Sex,Occupation,Full Time Resient 6 Relationship,Age,Sex,Occupation,Full Time Resident 7 Relationship,Age,Sex,Full Time Resident 8 Relationship,Age,Sex,Occupation,Full Time Resident 9 Relationship,Age,Sex,Occupation,Full Time Resident 10 Relationship,Age,Sex,Full Time Resident 11 Relationship,Age,Sex,Occupation,Last Name,First Name,Full Time Resident 12 Relationship,Age,Sex,Occupation,Full Time Resident 13 Relationship,Age,Sex,Occupation,Full Time  Resident 14 Relationship,Age,Sex,Occupation,Full Time Resident 15 Relationship,Age,Sex,Occupation
2,1,3,4,F,24,Contracted Worker,Security Guard,F,20,Laundry/Housekeeper,N/A,Grandmother,62,F,Nothing,Daughter,2,F,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,3,4,F,63,None,Security Guard,M,65,Contracted Work,Security Guard,Daughter,20,F,Nothing,Niece,15,F,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,5,8,F,38,Vendor,,M,42,Paid Consistent Job,Secutiry Guard,Daughter,23,F,Vendor,Daughter,21,F,Vendor,Daughter,15,F,Nothing,Daughter,9,F,Student,Son,3,M,None,Son,20,M,Paid ConsistentJob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,8,F,21,Vendor,,M,42,Paid Consistent Job,Secutiry Guard,Son,2,M,Nothing,Mother,38,F,Vendor,Brother,3,M,Nothing,Sister,15,F,Nothing,Sister,10,F,Student,Partner,42,M,Paid Consistent Job,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,2,4,F,34,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,2,4,M,40,Contracted Work,Construction Assistant,F,25,Laundry/Housekeeper,Housewife,Son,10,M,Student,Daughter,4,F,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,7,17,F,24,Contracted Worker,Housekeeper,M,53,Agriculture/Fish,,Daughter,2,F,,Mother,50,F,Housewife,Brother,9,M,Student,Brother,11,M,Student,Sister,10,F,Student,Sister,12,F,Student,Sister,14,F,Sister,14,F,,Sister,16,F,,Sister,19,F,Sister,27,F,Maid,Alvarado Gonzalez,Edwin Antonio,Brother,28,M,Albanil,Sister,32,F,Vendor,Niece,12,F,Student,Nephew,6,M,Student
11,2,2,4,F,26,Paid Consistent Job,Housekeeper,,,N/A,,Daughter,3,F,Nothing,Son,3,M,Nothing,Grandmother,50,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4,2,6,F,37,Laundry/Housekeeper,,,,N/A,,Daughter,18,F,Student,Son,16,M,Student,Son,14,M,Student,Daughter,7,F,Student,Son,13,M,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,3,4,M,22,Seams Man,Seamsman / Sewing,F,23,Paid Consistent Job,Waitress,Son,3,M,N/A,Mother in law,40,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2,1,3,F,30,Saleswoman,,,,N/A,,Daughter,12,F,Student,Son,8,M,Student,Mother in law,43,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,2,3,F,18,,,M,26,Contracted Worker,,Son,1,M,Nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,3,3,6,M,39,Contracted Worker,Mototaxi driver,F,40,Nothing,,Daughter,15,F,Student,Son,13,M,Student,Daughter,9,F,Student,Mother,74,F,Nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,3,1,4,F,43,Laundry woman,,,,N/A,,Son,16,M,Student,Son,12,M,Student,Daughter,7,F,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2,1,3,F,23,Laundry/Housekeeper,,,,,,Son,6,M,Student,Son,2,M,Nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2,1,3,F,42,Vendor,,,,,,Daughter,6,F,Student,Son,13,M,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,3,3,6,M,59,Paid Consistent Job,Security Guard,F,35,Laundry/Housekeeper,N/A,,1,F,Nothing,Daughter,14,F,Student,Son,17,M,Student,Mother in law,62,F,Housekeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2,2,4,F,33,Vendor,,M,49,Paid Consistent Job,Mechanic,Daughter,14,F,Student,Daughter,8,F,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,3,2,5,M,68,Agriculture,,F,26,Laundry/Housekeeper,,Daughter,8,F,Student,Daughter,6,F,Student,Son,3,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,3,4,F,46,Vendor,,,,,,Daughter,24,F,Vendor,Daughter,12,F,Student,Daughter,28,F,Housekeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3,2,5,M,37,Salesman,,F,37,Laundry/Housekeeper,,Daughter,16,F,Student,Daughter,9,F,Student,Daughter,8,F,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2,2,4,M,34,Agriculture,,F,26,Laundry/Housekeeper,,Son,9,M,Student,Daugther,4,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,2,4,M,32,Contracted Worker,,F,31,Laundry/Housekeeper,She sells clothes whenever she can,Son,8,M,Student,Mother,53,F,Vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
