,Tent ID,# of Residents less than 18 yr.,# of Residents more than 18 yr.,# of Tent Residents,Head of Household 1,HH1 Nickname,HH1 Sex,HH1 Age,HH1 Occupation,HH1 Occupation - Other,HH1 Vendor,HH1 Vendor - Other,HH1 Vendor Location,HH1 Vendor - Days Working per Week,Additional Comments,HH2 Nickname,HH2 Sex,HH2 Age,HH2 Occupation,HH2 Occupation - Other,HH2 Vendor,HH2 Vendor - Other,HH2 Vendor Location,HH2 Vendor - Days Working per Week,HH2 Additional Comments,# of Years Living in Village,Additional Comments - Living in Village,# of Years Living in Tent,# of People Living full time in tent,Education - School Attendance,Education - Name of School,Children Living Elsewhere,# of Children Living Elsewhere,Additional Comments - Children Living Elsewhere,Ownership,Ownership - Other,How much do you pay for rent?,Rent or Own Elsewhere,Rent or Own Elsewhere - Other,Previous Ownership,Marital Status,Marital Status - # of Years Together,Marital Status - Other,Marital Status - Additional Comments,Family Bacgkround,Problems in the Tent - Additional Comments,Unnamed: 66,Sleep # of People Per Night,Sleep - Difficulty Sleeping [Do you ever have issues sleeping?],Sleep - Frequency [How frequently do you have issues sleeping?],Do you normally wake up at night?,"Normally, how frequently do you wake up night?",What are the top two reasons you wake up at night or have issues the sleep?,Do you ever have trouble staying awake during the day?,"In the past week, how often did you have trouble staying awake? ",Sleep Time,Wake-up Time,How often do you get sick?,Additional Comments - Health,"In the past year, did someone in this home suffer from cough, congestion or similar problems?","During the last year, anyone living in the tent suffer from bronchitis, bronchiolitis or pneumonia?","If yes, how frequently did this person suffer from bronchitis, bronchiolitis or pneumonia?","In the past month, did anyone living in the tent suffer from diarrhea?",Do you have access to a latrine? ,Additional Comments - Latrine,Do you have electricity in your tent?,What is the main source of drinking water for members of your household?, How many gallons of water does your household use per day?,Do you ever drink water that isn't treated?,"Do you have any other comments, questions or other information you’d like to add?",Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96, Is there any risk that the tent will collapse?,In the past year did someone enter your house to steal something?,How many times were you stolen from? ,If you leave your tent are you concerned that someone ll steal from you?,"How often do you have friends, family or neighborhoods over to your tent?",What is the reason you do not have people over in the tent?,Do you have space to lie down if tired?,Do people living in the tent have space to keep their personal belongings?,"In this tent, if someone wakes up, do they wake up the other people? ",Do children have safe places to study?,Does your household own any animals?,"If yes, how many?",Does the household own a radio?,If yes does it function?,Would living in a block home create any changes in your life?,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Do you feel safe in your home?,What is the main thing that makes you feel safe? ,What is the main thing that makes you feel unsafe?,Do you feel safe leaving your children alone at home?,Do you feel safe walking in the community at night?,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Do you understand this interview does not guarantee that you ll receive a house from MOH?,Do you own the land the tent is on? ,Is the deed to the property in your name? -1,Is the deed to the property in your name? -2,Additional Comments - Land Tenure," If you were to receive a house, would you be willing to move to the area behind Healing Haiti?","If no, what is the main reason you are unwilling to move? ",Unnamed: 133,Unnamed: 134,What are the dwellings floors made of?,"Floors, if other please specify",What are the dwellings roof made of?,Do you feel this person qualifies for a home? ,"If no, explain.",Additional Comments - Home Qualification,Full-time Tent Resident 1,R1 Nickname,R1 Age,R1 Sex,R1 Occupation,R1 Name of School - Education,R1 Grade/Year in School - Education,R1 Class Name,R1 Occupation - Other,R1 Vendor,R1 Vendor - Other,R1 Vendor Location,R1 Vendor - Days Working per Week,R1  Relationship,R1 Additional Comments,Full-time Tent Resident 2,R2 Nickname,R2 Age,R2 Sex,R2 Occupation,R2 Name of School - Education,R2 Grade/Year in School - Education,R2 Class Name,R2 Occupation - Other,R2 Vendor,R2 Vendor - Other,R2 Vendor Location,R2 Vendor - Days Working per Week,R2 Relationship,R2 Additional Comments,Full-time Tent Resident 3,R3 Nickname,R3 Age,R3 Sex,R3 Occupation,R3 Name of School - Education,R3 Grade/Year in School - Education,R3 Class Name,R3 Occupation - Other,R3 Vendor,R3 Vendor - Other,R3 Vendor Location,R3 Vendor - Days Working per Week,R3 Relationship,R3 Additional Comments,Full-time Tent Resident 4,R4 Nickname,R4 Age,R4 Sex,R4 Occupation,R4 Name of School - Education,R4 Grade/Year in School - Education,R4 Class Name,R4 Occupation - Other,R4 Vendor,R4 Vendor - Other,R4 Vendor Location,R4 Vendor - Days Working per Week,R4 Relationship,R4 Additional Comments,Full-time Tent Resident 5,R5 Nickname,R5 Age,R5 Sex,R5 Occupation,R5 Name of School - Education,R5 Grade/Year in School - Education,R5 Class Name,R5 Occupation - Other,R5 Vendor,R5 Vendor - Other,R5 Vendor Location,R5 Vendor - Days Working per Week,R5 Relationship,R5 Additional Comments,Full-time Tent Resident 6,R6 Nickname,R6 Age,R6 Sex,R6 Occupation,R6 Name of School - Education,R6 Grade/Year in School - Education,R6 Class Name,R6 Occupation - Other,R6 Vendor,R6 Vendor - Other,R6 Vendor Location,R6 Vendor - Days Working per Week,R6 Relationship,R6 Additional Comments,Full-time Tent Resident 7,R7 Nickname,R7 Age,R7 Sex,R7 Occupation,R7 Name of School - Education,R7 Grade/Year in School - Education,R7 Class Name,R7 Occupation - Other,R7 Vendor,R7 Vendor - Other,R7 Vendor Location,R7 Vendor - Days Working per Week,R7 Relationship,R7 Additional Comments,Full-time Tent Resident 8,R8 Nickname,R8 Age,R8 Sex,R8 Occupation,R8 Name of School - Education,R8 Grade/Year in School - Education,R8 Class Name,R8 Occupation - Other,R8 Vendor,R8 Vendor - Other,R8 Vendor Location,R8 Vendor - Days Working per Week,R8 Relationship,R8 Additional Comments
0,22,2,1,3,3,Ti bouk,Male,,Agriculture/Fish,,,,,,,,,,,,,,,,,60,I moved here from Malone at the age of 3,7,3,Yes,Only one attends school the others don't go,Yes,1,"Gerome Alexis doesn't  live th,he has his own place.",Own,,,No,,Own House,Married,3,,But they don't live in the same tent as me.,"I'm from Kalone, we came here to make coal and we stayed.  I got married & gave birth here .
Audio: What led us here is that we were here making charcoal for a time. While we were here, there was no one else in the area. We stayed here instead of going back. We built a house here, we got married here.","the tent is to hot, to many rats and they make me sick often 
Audio: Rats! I can't sleep inside because of the rats. Rats are crawling all over us and destroying us. The heat, too. I can hardly see in my eyes. I keep having to go to the doctor's.",,,Yes,Very often,Yes,Very often,It’s hot or cold,Yes,3-4 times,7,,Very often,"I suffer from a hernia, my eyes are sick. I'm in the hospital weekly ",Yes,No,,Yes,Yes,The toilet is partially broken so it's not in the best condition for people to use,No,Pump or well,,Yes,"Im no longer working in Selmale, summer time I work because no rain, I'm sick in my eyes",,,,,,Yes,Yes,3,Yes,Sometimes,,Yes,No,No,No,"Dog, Donkey",3 Dogs 2 Donkeys  ,No,,"The tent doesn't have much security when it rains l, the discomfort when the strong nd blows, living in fear
Audio: It'll be better for me than the tarp.",,,,,No,,because I cannot go out and leave my things in the tent unattended and the tent  rips,No,Yes,,,,,,Yes,Yes,,No further comments,,,,,Dirt or soil,,Tin,Yes,,This gentleman in great need of a house.,Please see record detail page - https://app.formyoula.com/templates/583f26b8174c850d00c01654/forms/58dc22045c480a0c00869468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,0,1,1,1,Bertha,Female,,Vendor,,Milk,Plantain and yams,Market,2,,,,,,,,,,,,60,"When my husband left Kalone, I can to live here to",7,1,Yes,"Jean Alex Alexis came here  th  his father, he attends school at this Magistrate Jean Gary.  He in his 7th yr of fundamental studies,  he is 17 yrs old.",Yes,1,I have 4 children that do not live th me. One of my children live in her home th her husband.,Own,,,No,,Own House,Married,3,,"I'm my husband, we got married in the tent","I'm from Patyo is neighboring town to Kalone, I came hear for my relatives funeral and stayed.
Audio: What brought me to the area... left my home land when I was small and moved to Titanyen. We had a death in the family, and so we came here to attend the funeral, and we stayed. Ever since then we've been living here. January 12 happened, and they gave us the tent. We live in the tent.","My problem are the mosquito's and its so hot I can't  sleep.
Audio: Every so often I get a cold. It gives me a fever. The heat is awful. I can't live here. I don't sleep well. Mosquitoes make me unable to sleep well.",,,Yes,Very often,Yes,,"It’s hot or cold, Anxiety and worry about my life",Yes,1-2 times,7,,Very often,I suffer from a cold that ll not go away and constant itching and pricking sensation all over.,No,No,,No,No, We had one but it broke.,No,Pump or well,,Yes,"My biggest problem is the tent, sh the house could be built faster",,,,,,Yes,No,,Yes,Sometimes,,No,No,No,No,No,,No,,"because I'm have no security Im ways worried when I go out ill be robbed. I ll have more security in a block house
Audio: Yes, it would change my life because I'd be safe. I can go somewhere. Even if I sleep elsewhere I know I won't have a problem.",,,,,No,,because the tent tattered and torn the gusts  of wind so strong disturbs my sleep all night,No,Yes,,,,,,Yes,Yes,,No comment ,,,,,Dirt or soil,,Tin,Yes,,these conditions are so unfavorable for this lady could get a house,Please see record detail page - https://app.formyoula.com/templates/583f26b8174c850d00c01654/forms/58dc21f01c46930d006f4bc4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,0,1,1,1,Marleine,Female,,Nothing,,,,,,,,,,,,,,,,,36,Born in area in 1981.,7,1,No,,No,,She doesn't have children ,Own,,,No,,Rent a house,Single,,,,"I was living th my father the moved out and ended up here in passing and stayed
Audio: My mom and dad had me here. I'm here because of them. I've been here since I was little. I was born here.","Rats disturb me relentlessly at night, sun up the heat is unbearable, no sleep day or night
Audio: At night I can't sleep. Even during the day when it's sunny I can't sleep. I have to go get fresh air outside because there's too much heat. When I cover food in inside, rats come and eat it. I can't eat from it again.",,,Yes,Very often,Yes,Very often,"It’s hot or cold, Annoyance by nd coming into the tent, Noise Outside (animals, people), Fear of Structural Housing Problems",Yes,1-2 times,10,,Very often,I often suffer from fever and cold chills.,No,No,,No,No,I use my neighbor's toilets.,No,Pump or well,,Yes,"When ll the house be finish, can't take living in the tent",,,,,,Yes,Yes,5,Yes,Sometimes,,Yes,No,No,No,No,,Yes,Yes,"Yes! Because more secure when I go out, rats would no long harrass me , protected from forceful nds.
Audio: Yes, it'll change my life because it will be better than the tarp. Ill be safer. When you're in a block house you're safer.",,,,,No,,because it is not a block house it's easily destroyed,No,Yes,,,,,,Yes,Yes,No,The papers at in my fathers name who has left,,,,,Dirt or soil,,Tin,Yes,,This women is in great need of a house.,Please see record detail page - https://app.formyoula.com/templates/583f26b8174c850d00c01654/forms/58dc21ec5c480a0c00869467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,15,4,3,7,,Monelyez,Female,,Laundry/Housekeeper,,,,,,,,,,,,,,,,,26,I came here and so did my friend,7,7,Yes,"Four of my children attend Magistrat Jean Gary, one At école Évangélique de la rédemption",Yes,1,"Sonia Fortilus is living th her cousin (1 word used to describe the living conditions ""jumbled/mixed up"")",Own,,,No,,Rent a house,Single,,,,I moved near a friend I met my child's father we rented a home together relationship became abusive he left us I moved here th my child,"Heat, When it rains water floods the tent, the rats disturb my sleep thought the night.
Audio: When it rains, water gets inside. The kids may be sleeping and water floods underneith them. Also, rats are eating holes in the tarps. The tarps are torn. I patch it with pieces of wood and tin. During the day I can't sleep. Even if I have a child that's sick, I can't let it lie down inside during the day because of the heat. I can't breathe it's so hot. At night it's cold, during the day it's hot.",,,Yes,Very often,Yes,Very often,"It’s hot or cold, Annoyance by nd coming into the tent, watching over the younger children",Yes,3-4 times,9,,Very often,"I have fever often, the kids have diarrhea, dizziness and stomach aches. ",Yes,Yes,Very often,Yes,No,I go in the Basin or in the woods,No,Pump or well,,Yes,What I an say is for The Good Lord to make it so everyone can get a home,,,,,,Yes,Yes,4,Yes,Sometimes,,No,No,No,No,No,,No,,"Because the children ll be th me soon  and they ll not have a place to sleep and the heat is killing us and the rats disturb our sleep.
Audio: Yes, it can change my life. I think that if we have a house, and if each child has a place to sleep, in a room, with a bed, it'll be better for us. It'll be a good change for me.",,,,,No,,The tent fibers are almost completely  torn and the nd blow inside ,No,Yes,,,,,,No,,,Frankel Matthieu allowed  me to put my tent on his land,,,,,Dirt or soil,,Tin,Yes,,she has alot of children she in great need Of a house.,Please see record detail page - https://app.formyoula.com/templates/583f26b8174c850d00c01654/forms/58dc21e71c46930d006f4bc3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,18,2,1,3,,Dedette,Female,,Small business outside or nearby the home,,"Rice, beans, plantains or produce",,,6,,,,,,,,,,,,27,"When my uncle moved to this area, I came to live here too",7,4,Yes,"Some attend Bon Repos, some at Earling Haiti,école Evangélique",Yes,1,she is the one attending the school  bon repos and the school national de lilavois(Gayannesiana Saul),Own,,,No,,Rent a house,Common Law,11,,,"My uncle is a pastor. While he was away on a mission God revealed to him he should come and live in Titanyen, so he had to bring all of us here. That's why I stayed in Titanyen to live. I grew old here.","The gives many problems, the worst place, flu, fever,  Diarrhea.
Audio: The tent makes me almost have asthma, because I can't stay inside it at all. At night I can't sleep inside it. During the day I can't lay down inside. I have to go sleep outside under a tree. I have to go sleep at a neighbor's house eventhough I have my own place. It's not good for me at all. It makes me sick.",,,Yes,Very often,Yes,Very often,"It’s hot or cold, worring about the problems th this tent, worry and fear",Yes,1-2 times,6,,Sometimes,The only thing I suffer from is hypotension.,Yes,Yes,Sometimes,Yes,No,I use other people's toilet.,No,Pump or well,,Yes,I would like to know how long it ll take to build the house. RE:bad conditions,,,,,,Yes,No,,Yes,Sometimes,,No,No,No,No,"Cat, Chicken for Eggs ","1 Cat, 1 Chicken for Eggs",No,,"My uncle is a pastor and I came here th the missionaries and God but in his heart to move us to tatianyen
Audio: It'll bring about many changes for me because I'll be safer with my children. My things will be safer, too. When you're living under a tarp you don't live well.",https://app.formyoula.com/templates/583f26b8174c850d00c01654/forms/58dc21bbdfdb6f0e00c23137,It would be a great thing the tent are to hot to say in the weather destroys them,,,No,It ,,No,No,,,,,,Yes,Yes,No,The paper are in my grandmothers name,,,,,Dirt or soil,,Tin,Yes,, in great need of a house,Please see record detail page - https://app.formyoula.com/templates/583f26b8174c850d00c01654/forms/58dc21e11c46930d006f4bc2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,19,0,2,2,2,Ti kod,Female,,Small business outside or nearby the home,,Fish,,,7,,,,,,,,,,,,65,I've been living here since I was 10 yrs old,7,3,No,,No,,It is her nephew  who is th her he doesn't attend school. Her children are not th her,Own,,,No,,Own House,Married,25,,She got Married as an Adult ,"I come from Blaket but my cousin Bertha who brought me to this area. I have 10 children I am responsible for their born in Lavil .
Audio: Ti Bouk and Bertha led me here. They were in the area and they brought me here. Now this is where I live. This is my house. They're my cousins. I was in Blaket. Now I'm here.","It breeds sickness 
Audio: When I lay down inside it's hot. When it's sunny you can't stay inside. I can't see in my eyes. I have all kinds of illnesses. I can't use my feet or my arm. I can't see in my eyes at all, because of my head.",,,Yes,Very often,Yes,Sometimes,"It’s hot or cold, Annoyance by nd coming into the tent",Yes,1-2 times,8,,Very often,I suffer from aches and pains and poor vision.,Yes,No,,No,No,my toilet broke  so other people let me use theirs.,No,Pump or well,,No,No,,,,,,Yes,No,,Yes,Sometimes,,No,No,No,No,No,,No,,"it would be wonderful
Audio: If I get a block house, I'll be happy. The tarps are all torn. The whole thing is torn. I sewed it. ",,,,,No,,because it's torn,No,No,,,,,,Yes,Yes,No,Was under one of children's name,,,,,Dirt or soil,,Tin,Yes,,this elder is sick in the eyes and is in great need of a house,Please see record detail page - https://app.formyoula.com/templates/583f26b8174c850d00c01654/forms/58dc21dd5c480a0c00869466,,24,Male,Student,"Li te lekol bon repos, kounya li vin lekol titanyen.",,,,,,,,Nephew,,,,19,Male,Nothing,,,,,,,,,Nephew,Li te lekol li kitel men kounya li pap fe anyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,101,3,1,4,4,Delourdes,Female,,Nothing,,,,,,,,,,,,,,,,,17,I've been living in the area since 2000 my uncle brought me here,7,4,Yes,1 attends Earling Haïti and 1 At Pastor Jonas school of Mr.Simon Salnave.,No,,All the children live th me,Own,,,No,,Own House,Single,,,,"I've been living in the area since 2000, my pastor brought all of us here 
Audio: [so and so] brought me here. I've been living here since 2000. I was in Bon Repo, but he made us come here, which is why we moved here. [other people were yelling during the recording, making it somewhat inaudible]","it breeds illness
Audio: My problem is headaches and also my eyes. Sometimes this eye, I don't know if it's because a drop of sweat gets in it, whenever I rub it it becomes red. I have headaches frequently, and colds. Sometimes I'm tired during the day, but because it's too hot... [cut off]",,,Yes,Very often,Yes,Very often,"It’s hot or cold,Annoyance by nd coming into the tent, Noise Outside (animals, people)",Yes,3-4 times,10,,Very often,I'm handicapped and I have trouble th my eyes,Yes,No,,Yes,No,I use my neighbor's toilets.,No,Pump or well,,Yes,No,,,,,,No,No,,Yes,Sometimes,,Yes,No,No,No,No,,No,,"Yes, a great change. The heat is so strong. We have second door, but it makes the heat even worse.
Audio: For me, the tent is just a bird house. What makes me say that is because of how it closes, and how it's so hot. Eventhough it has a door on the other side, it's even hotter at night!",,,,,Yes,because the tent completely torn a group of missionaries helped me patch it up,,No,Yes,,,,,,Yes,Yes,No,It's in my uncle ),,,,,Concrete,,Tin,Yes,,In great need of a house,Please see record detail page - https://app.formyoula.com/templates/583f26b8174c850d00c01654/forms/58dc21d61c46930d006f4bc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,25,2,1,3,3,Blan,Male,,Contracted Worker,,,,,,,,,,,,,,,,,50,My father brought me here because he was working here gardening,7,3,Yes,They both attend Mission l'espoir,No,,,Own,,,No,,Rent a house,Other,,,He doesn't  have a fe only his children ,"my father brought us here because my mothers home where we lived was completely destroyed
Audio: My father led me here. But the biggest thing is that where my mom was, the house was destroyed, so she had to go live somewhere else. My dad took me and moved me here.","it is hot and it makes us ill.
Audio: It's hot. When it's sunny, it's hot. Also, when insects get inside, that bothers us. When rats come inside, they cause problems. The tent makes us ill because of the heat. The heat makes us ill often. ",,,Yes,Sometimes,Yes,Very often,"The heat or the cold, the wind causing problems.",Yes,1-2 times,7,,Very often,"we periodically suffer from headaches, we are uncomfortable in our own bodies",Yes,No,,Yes,Yes,,No,Pump or well,,No,No,,,,,,Yes,No,,Yes,Frequently,,Yes,No,No,No,"Chicken for Eggs, Chicken for Meat ",5,No,,"it ll be much better, secure, durable
Audio: A block house is more important than a tarp house. A tarp will always tear, but a block house will last longer.",,,,,No,,"because you can't go out, and anyone can walk in on you,the tent rips",No,Yes,,,,,,No,,,My friend  lets me stay here,,,,,Dirt or soil,,Tin,Yes,,because in great need of it,Please see record detail page - https://app.formyoula.com/templates/583f26b8174c850d00c01654/forms/58dc21d21c46930d006f4bc0,,17,Female,Student,li lekol nan mission de lespwa lap fe 10eme Anne fondamantal.,,,,,,,,Pitit fi,,,,16,Female,Student,Lap fe 10 eme anne tou nan college mission lespwa,,,,,,,,Pitit fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,24,2,1,3,,Ti jennjan,Male,,Nothing,,,,,,,,,,,,,,,,,50,My parent moved here since I was very young child.,7,3,Yes,"1 attends École Évangélique de la redemption, the other attend Magistrat Jean Gary",Yes,1,she lives in her own home th husband in Simonette.,Own,,,No,,Own House,Widow,,,His fe dead 01/12 /2010,"I was living th my Aunt in Kabare, then moved to Titanyen while working at  lafito
Audio: I had an aunt living in Cabaret. I went to school in Cabaret. I then just moved to Fitto... [cut off]","heat and illness
Audio: The heat! You can't sleep at night. Since it's what you have, you hae no choice but to live in it. So much heat! When it's windy, the whole thing shakes.",,,Yes,Very often,Yes,Very often,"The heat or the cold, the wind causing problems.",Yes,3-4 times,6,,Very often,my foot is broken and always in pain,Yes,Yes,Sometimes,No,Yes,,No,Pump or well,,No,No,,,,,,Yes,No,,Yes,Sometimes,,Yes,Yes,Yes,Yes,Goat,4,No,,"It would much better for me because of security
Audio: A block house would be better for me than this. It's safer.",,,,,No,,because the tent is almost completely destroyed,No,No,,,,,,Yes,Yes,,No comment ,,,,,Dirt or soil,,Tin,Yes,, Because he is in bad physical Health he deserves a home,Please see record detail page - https://app.formyoula.com/templates/583f26b8174c850d00c01654/forms/58dc21ccdf12bf0c000e1c91,,13,Female,Student,"
Li lekol Kay Magistrat Jean Gary lap fe 5eme fondanmanl",lap fe 5eme fondanmanl,,,,,,,Pitit fi,,,,12,Female,Student, nan ecole evengelique de la redemption!,lap fe 2eme anne fondamantal,,,,,,,Pitit fi,lap fe 2eme anne fondamantal nan ecole evengelique de la redemption!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,26,2,3,5,,Ti fanm,Female,,Small business outside or nearby the home,,"Rice, beans, plantains or produce",,,7,,,,,Nothing,,,,,,,35,I moved here to live in my fathers house.,7,6,Yes,"Some attend Missions l'espoir,  some At Lychee, also Jean Gary",Yes,1,Their going to St Dominguez ,Own,,,No,,Own House,Common Law,33,,,"My father brought me here and I had 5 children hear
Audio: [same, plus:] I have 6 children. Five are with me here, one is not.","it's hot and it rips
Audio: It's torn. It's torn and it's hot. Everything!",,,Yes,Sometimes,Yes,Sometimes,"The heat or the cold, the wind causing problems.",Yes,1-2 times,8,,Very often,High blood pressure and diabetes.,Yes,Yes,Very often,Yes,Yes,,No,Pump or well,,No,I would like to know are they making a house of my own?,,,,,,Yes,No,,Yes,Sometimes,,No,No,No,No,"Goat, Chicken for Eggs","2 Goats, 10 Chicken for Eggs",Yes,Yes,"It will make great  difference, it's too hot easily torn my kid and weather
Audio: A block house would change my life because the tarp is hot. The kids can tear the tarp. A block house can't easily be wrecked.",,,,,No,,because of the Heat and the point is not sturdy,No,No,,,,,,Yes,Yes,No,In my fathers  name ,,,,,Dirt or soil,,Tin,Yes,,,Please see record detail page - https://app.formyoula.com/templates/583f26b8174c850d00c01654/forms/58dc21c65c480a0c00869465,,28,Male,Paid Consistent Job,,,,,,,,,Son,,,,23,Female,Student,"lap fe seconde, li lekol nan Lychee Sada nan la plaine",,,,,,,,Pitit fi,,,,20,Female,Student,"loudie li lekol nan College mission de lespwa, lap fe fill.",,,,,,,,Pitit fi,,,,19,Female,Student,li lekol Kay Magistrat Jean Gary lap fe 9eme Anne fandamantal,,,,,,,,Petit Fi,,,,15,Male,Student,lap fe 7eme Anne Kay Jean Gary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
